AZ-BZN 33.4915 -116.6670 1301.0
AZ-CPE 32.8889 -117.1051 150.0
AZ-CRY 33.5654 -116.7373 1128.0
AZ-CSLB 33.7793 -118.1126 17.0
AZ-FRD 33.4947 -116.6022 1164.0
AZ-HWB 33.0262 -116.9596 478.0
AZ-KNW 33.7141 -116.7119 1507.0
AZ-LVA2 33.3516 -116.5615 1435.0
AZ-MONP 32.8927 -116.4225 1920.0
AZ-MTRP 32.8203 -117.0567 200.0
AZ-PFO 33.6117 -116.4594 1259.0
AZ-RDM 33.6300 -116.8478 1365.0
AZ-SCI2 32.9150 -118.4879 486.0
AZ-SMER 33.4577 -117.1708 355.7
AZ-SND 33.5519 -116.6129 1358.0
AZ-SOL 32.8410 -117.2480 245.0
AZ-TRO 33.5234 -116.4257 2628.0
AZ-WMC 33.5736 -116.6747 1271.0
AZ-YAQ 33.1666 -116.3539 430.0
BC-CBX 32.3131 -116.6636 1250.0
BC-CCX 31.8679 -116.6645 36.6
BC-CPX 32.4195 -115.3050 192.0
BC-PIX 31.5629 -113.4599 77.8
BC-RMX 32.5535 -116.0288 1278.0
BC-SFX 31.0376 -114.8510 39.0
BC-SJX 32.0048 -115.9480 1616.0
BC-SPX 31.0451 -115.4660 2835.0
BC-TJX 32.5102 -117.0543 210.0
BC-TKX 32.5687 -116.6075 541.0
BC-UABX 32.6316 -115.4447 44.3
BC-VTX 31.3914 -115.7840 746.0
BK-BDM 37.9540 -121.8655 219.8
BK-BKS 37.8762 -122.2356 243.9
BK-CMB 38.0345 -120.3865 697.0
BK-CVS 38.3453 -122.4584 295.1
BK-HOPS 38.9935 -123.0723 299.1
BK-JCC 40.8175 -124.0296 27.2
BK-JRSC 37.4037 -122.2387 70.5
BK-MHC 37.3416 -121.6426 1250.4
BK-ORV 39.5545 -121.5004 334.7
BK-PKD 35.9452 -120.5416 583.0
BK-PRI 36.1417 -120.6650 1187.0
BK-SAO 36.7640 -121.4472 317.2
BK-WDC 40.5799 -122.5411 268.3
BK-WENL 37.6221 -121.7570 138.9
BK-YBH 41.7320 -122.7104 1059.7
CI-ABL 34.8484 -119.2250 1975.0
CI-ADL 34.5558 -117.4180 868.0
CI-ADO 34.5505 -117.4339 908.0
CI-AGA 33.6384 -116.4011 809.0
CI-AGO 34.1465 -118.7670 259.0
CI-ALP 34.6871 -118.2995 753.0
CI-ALV 35.0617 -116.6289 640.0
CI-AMS 33.1414 -115.2549 148.8
CI-ARB 34.0043 -117.6054 221.7
CI-ARG 36.0837 -117.4806 2500.0
CI-ARV 35.1269 -118.8301 258.0
CI-AVC 33.3331 -118.3354 0.0
CI-AVM 35.0656 -116.6155 708.6
CI-AZU 34.2198 -117.9012 1140.0
CI-BAC 33.6122 -117.0406 551.0
CI-BAI 34.7769 -118.7733 1035.0
CI-BAK 35.3444 -119.1044 116.0
CI-BAL 34.3076 -118.9671 258.0
CI-BAR 32.6801 -116.6722 504.0
CI-BAT 33.4583 -115.8415 -53.0
CI-BBB 33.3526 -115.7332 -96.0
CI-BBR 34.2623 -116.9207 2069.0
CI-BBS 33.9214 -116.9806 785.0
CI-BC2 33.6570 -115.4620 995.0
CI-BC3 33.6548 -115.4531 1080.0
CI-BCC 33.5751 -117.2612 391.0
CI-BCH 35.1854 -120.0852 1109.0
CI-BCM 33.6554 -115.4488 1141.2
CI-BCW 34.9401 -119.4131 1101.0
CI-BEL 34.0006 -115.9982 1388.0
CI-BFS 34.2388 -117.6585 1312.0
CI-BHP 33.9905 -118.3617 81.0
CI-BKR 35.2693 -116.0703 275.0
CI-BLA2 34.0693 -116.3899 1247.0
CI-BLA 34.0695 -116.3890 1243.0
CI-BLC 34.2436 -118.6731 607.0
CI-BLK 35.0887 -117.2198 619.0
CI-BLU 34.4069 -117.7278 1843.0
CI-BLY 33.7503 -114.5238 201.0
CI-BMT 35.1364 -118.5972 1200.0
CI-BOM 33.3646 -115.7296 -54.0
CI-BON 32.6973 -115.2690 -14.0
CI-BOO 34.8763 -117.9111 671.0
CI-BOR 33.2682 -116.4172 252.0
CI-BR2 32.9790 -115.5494 -67.0
CI-BRE 33.8078 -117.9812 24.0
CI-BRG 33.1714 -116.1747 205.0
CI-BRS 33.9714 -116.9126 1075.0
CI-BRT 34.6121 -117.9635 757.0
CI-BTC 33.0121 -115.2199 39.0
CI-BTL 34.2570 -117.0052 2527.0
CI-BTP 34.6822 -118.5740 1702.0
CI-CAC 34.1368 -118.1220 230.0
CI-CAH 33.4930 -116.7239 1313.0
CI-CAL 35.1033 -117.9492 690.0
CI-CAP 33.3882 -117.1950 285.0
CI-CAR 35.3082 -119.8458 765.0
CI-CAV 35.0507 -116.3453 558.0
CI-CBC 34.1397 -118.1272 253.0
CI-CBK 32.9158 -116.2523 355.0
CI-CCA 35.1525 -118.0165 710.0
CI-CCC 35.5249 -117.3645 670.0
CI-CCR 34.3608 -116.9409 1383.0
CI-CDY 34.8301 -116.3372 934.0
CI-CFL 34.3330 -118.0239 1560.0
CI-CFS 34.1054 -117.2829 312.0
CI-CFT 34.0355 -117.1124 682.0
CI-CGO 36.5504 -117.8029 2795.0
CI-CH2 33.2962 -115.3369 349.2
CI-CHF 34.3334 -118.0258 1594.0
CI-CHN 33.9988 -117.6804 208.0
CI-CIA 33.4019 -118.4150 477.0
CI-CIS 33.4067 -118.4042 436.0
CI-CIU 33.4458 -118.4830 36.5
CI-CJM 34.2712 -117.4245 1616.0
CI-CJV2 34.5298 -118.1445 1296.0
CI-CLC 35.8157 -117.5975 775.0
CI-CLI2 33.1211 -115.5802 -60.2
CI-CLI 33.1403 -115.5266 -92.0
CI-CLM 34.0961 -117.7230 317.0
CI-CLO 34.2204 -119.0089 48.0
CI-CLT 34.0928 -117.3169 325.0
CI-CO2 33.8452 -115.3435 242.0
CI-COA 32.8634 -115.1234 36.0
CI-COK2 32.8505 -115.7284 -14.0
CI-COK 32.8495 -115.7279 -50.0
CI-COO 33.8960 -118.2164 20.9
CI-COY 33.3630 -116.3111 218.0
CI-CPE 32.8924 -117.1014 143.0
CI-CPM 34.1544 -116.1977 897.0
CI-CPO 32.6427 -116.4851 838.0
CI-CPP 34.0602 -117.8090 205.0
CI-CPT 33.3034 -117.3408 14.0
CI-CRF 33.8735 -118.0394 17.0
CI-CRG 35.2422 -119.7249 1169.0
CI-CRN 33.8757 -117.5611 204.8
CI-CRP 34.1362 -118.1270 233.0
CI-CRR 32.8868 -115.9692 66.0
CI-CSH 33.6442 -116.5956 1637.0
CI-CSL 34.4965 -118.6162 354.0
CI-CTC 33.6552 -115.9901 538.0
CI-CTD 33.3549 -118.4444 190.0
CI-CTW 33.6773 -115.8721 504.0
CI-CVW 34.9222 -118.9391 804.8
CI-CWC 36.4399 -118.0802 1595.0
CI-CZN 33.9138 -116.7841 538.0
CI-DAN 34.6375 -115.3812 428.0
CI-DB2 33.7352 -117.0629 591.0
CI-DBM 34.9788 -118.3611 1162.0
CI-DEC 34.2535 -118.3338 519.0
CI-DEV 33.9360 -116.5779 337.0
CI-DGR 33.6500 -117.0095 650.0
CI-DJJ 34.1062 -118.4550 268.0
CI-DLA 33.8482 -118.0962 14.0
CI-DNR 33.5667 -116.6306 1274.0
CI-DPP 32.9989 -116.9419 463.0
CI-DRC 32.8054 -115.4465 -15.0
CI-DRE 32.8053 -115.4468 -13.0
CI-DSC 35.1425 -116.1039 283.0
CI-DTC 34.4242 -118.6619 0.0
CI-DTP 35.2674 -117.8458 908.0
CI-DVT 32.6591 -116.1006 881.0
CI-DZA 32.6066 -116.7748 554.7
CI-ECF 34.4580 -119.0915 956.0
CI-EDW2 34.8811 -117.9939 772.0
CI-EDW 34.8830 -117.9911 789.0
CI-EL2 34.5295 -117.6435 979.5
CI-ELC 32.7814 -115.5356 -41.0
